score,content,label
1,Layanan gofood nya kenapa driver bisa dapat doubel order.. Jadi rugi klau kaya gini saya pesan makanan selalu lama tiba nya,Negatif
1,Aplikasi lemot,Negatif
1,Maps nya sering tolol...,Negatif
5,sangat membantu,Positif
5,Memberikan kemudahan bagi banyak orang,Positif
1,"Mohon tambahkan menu komplain pada aplikasi gojek jika pesanan gofood kurang, krna saya slalu bayar mbanking atau via bank jago dan gk nemu opsi utk komplain ke resto slain ke kurirnya. Itupun kadang gk direspon. Seringkali pesen gofood makanan kurang 2 kadang 1. Pernah smpai 3 item. Ini prtama kali komplain. Gk tau mau komplain kmana. Punya partner tokopedia. Smoga bisa bnyak bljr dgn sistem yg ada ditokopedia dlm menjaga dana pembeli.",Negatif
5,Mudah dan cepat,Positif
5,Sangat membantu... ini kejadian ketika kita ke kota laen yg kita tdk hafal jalanan alternatifnya.... bravo,Positif
1,"Limit paylater ditutup, gopinjam ga diacc, reward bulanan jelek, sudah menggunakan gojek kurang lebih 6tahun, gojek sekarang tak seasik gojek dulu.",Negatif
4,kalo hujan pada males narik pelanggan ya padahal ada mantel. jelek ah,Positif
4,"Mantapp selalu kasih promo, sangat memuaskan juga selama memakai layanan ini",Positif
5,"Aplikasi yang sangat bagus. Ada beberapa pertanyaan, yang belum saya temukan jawabannya walaupun sudah saya cari di YouTube. Yang pertama dimana kita bisa menemukan kode promo dan bagaimana cara penggunaannya? Terimakasih. semoga gojek makin jaya.",Positif
1,"Driver mobil GOJEK SANGAT BURUK!!! pesan 3x mobil dan di batalkan mulu, aplikasi wajib bintang 1",Negatif
5,Good,Positif
4,Mantab,Positif
5,Alhamdulillah selama ini masih baik2 saja,Positif
5,udah ya,Positif
5,mantap,Positif
1,Promonya pelit banget sekarang! Udh pake voucher tp harganya masa lebih mahal drpd pas gak pake voucher,Negatif
5,Oke,Positif
1,Aplikasi makin sini makin lemot gajelas!!!,Negatif
1,"Buruk, gua beli token nomor nya ga ada, dari pihak gojek nya lepas tangan gitu aja",Negatif
5,"Terpenuhinya operasional, perjalanan.",Positif
1,"Ga bs order, gangguan nya terlalu lama",Negatif
1,Sangat buruk jgn pake aplikasi ini.. sya sgt tidak sarankan.. sya bayar tagihan di persulit n berbeda2.. tidak ada penyelesaian. Aplikasi bobrok.jgn percaya aplikasi ini skrg.. suka menipu... Sya bayar tagihan.. tapi uangx gak tau kmn,Negatif
2,gak jelas pake goo foodd skrng resto tutup tapi gak bisa dibatalin aneh,Negatif
1,Semuanya lambat,Negatif
1,Muter terus,Negatif
2,"males bgt kalo pesen makanan digojek,soalnya lamaaaaaa bgt pdhl udh pake pilihan pengantaran cepet tetep aja bakal nunggu makanannya setengah jam bahkan bisa sejam, sampe udh mo mati laper baru tu makanan nyampe udh gitu vouchernya jarang ada lg, sekalinya ada hrs belanja 100k lebih, ga ngotak bgt",Negatif
1,"Waah...makin parah nih gojek.. kemarin setelah pembatalan transaksi,saldo tidak kembali,sementara laporannya saldo sudah di refund.. Jadi takut untuk transaksi di gojek lg.. Pdhal sdh hampir 4 thn loyal transaksi di gojek.. Mana go clubnya jg tdk nambah pdhal sdh berkalikali transaksi..Tolong diperbaiki.. Dan akhir2 ini suka ngelag..knp yaa..",Negatif
5,Bagus sekali,Positif
5,Okeh lah,Positif
1,"Udah ada limit nya dikurangin,,malah ga bisa dipake transaksi apapun,,tambah2 ga jelas....",Negatif
1,"Pengemudinya pilih"" Saya ksh bintang 1 ajh dlo soalnya jelek aplikasinya milih"" Grab nya",Negatif
1,Ongkir gak ngotak!!! Padahal jaraknya deket banget!,Negatif
5,Plyananny baik cepat ramah,Positif
4,Bagusssssss.... Ok.... Cepat... Mudah....,Positif
5,Y sxdðŸ–¤ðŸ¥°(â *â _â *â ),Positif
2,Kok sekarang gofood gada gambar map-nya lagi? Jadi ga bisa mantau driver dah dimana,Negatif
1,sekarang ongkir dan jasa aplikasi mahal banget woy! ga ngotak! drivernya banyak yg manja. gamau gopay lah. kejauhan lah. at least kerja dulu baru ngeluh. belum kerja udh ngeluh. udh ga sehat ni aplikasi,Negatif
2,Berkali kali aplikasinya nge hang...bikin kezell aja. Ku kurangin bintangnya kalau belum di perbaiki,Negatif
1,"GAK BISA DI PAKAI!!! BUSET DAH JAWABAN PIHAK GOJEK KATANYA ""PASTIKAN SINYAL BAGUS"". LAH BUAT BUKA GRAB, SHOPEE FOOD AJA BISA KOK... ADMIN GOJEK GW GAK BISA BUKA APLIKASI LO INI SETELAH GW UPDATE. ðŸ‘Ž",Negatif
5,Mamtap,Positif
5,Driver kadang suka lemot sih udah sesuai titik jemputnya tapi masih nanyaÂ² :),Positif
5,Bagus,Positif
1,GUA UDA MUAK MAKE GOPAY MENDING PINDAH KE DANA SUDA DI DM CSNYA TIDAK ADA JAWABAN MANA SALDO SAYA MASI DISITU PELAYANAN SANGAD BURUK BINTANG 1.,Negatif
5,Bagus,Positif
5,Bagus,Positif
5,Komplit aplikasi Nya,Positif
1,"Makin buruk gojek sekarang lemot, mau pesan goffod loadingnya lama banget muncul notif tidak ada koneksi aneh jelas"" Pakai wifi lancar, pesan 1 order goffod proses di aplikasi y aja bisa sampai 1 jam karna lemot ya, HP mendukung wifi mendukung, aplikasi lain lancar, memang gojek y yg salah",Negatif
5,Cuma langganan go food aja sih hehhe. Mantap.,Positif
5,Gojek mantap,Positif
1,Ngelag bat aplikasinya kocak,Negatif
1,"payah.....jangan suruh q bayar tagihan ya.....limit sampek 1,5jt paylater tp kagak bs d pkek gilak yeeee........aws aja nagih2......kagak bakal gw byr slama paaylater mah blm bs kpakek sprti byasa......",Negatif
1,Tambah besar gb nya,Negatif
5,Good,Positif
1,Update maps nya dong... Ke warung makan tpi dah ga jual warungnya... Pdhl di gojek masi ada hmmmm,Negatif
2,Tidak bisa memasukkan lokasi yang disimpan pada saat akan melakukan pemesanan. Otomatis saya harus melakukan cek lokasi manual. Opsi masukan lokasi yang disimpan hanya bisa dipakai untuk gofood saja.,Negatif
5,Mayanlah,Positif
5,Bagus sekali,Positif
5,Sangat baik dan lancar,Positif
1,Map nya gak update jalur muter2,Negatif
5,Ok,Positif
5,Mantab,Positif
4,Oke,Positif
2,"Sudah mulai tidak memberi kenyamanan..sperti dari 1 bulan yg lalu saya menfalami kendal di bisa betransaksi pulsa dan tagihan..stelah saya buat laporan pihak admin menanggapi bahwa gopay anda dalam keadaan aman dan tidak ada kendala. Lah jelas saya tidak bosa beli pulsa / paket kouta,bayar tagihan listrik mau pun membeli vocer listrik.",Negatif
5,good,Positif
5,aya jalan,Positif
1,"Semalem order Gocar tarif 96rb driver cancel tidak bisa jemput alasan jauh macet jam 19 kurang, eh pesan lagi jadi naik tarif 150rb dong, gila sih padahal saya tidak cancel yg cancel drivernya kena dumping harga alasan jam sibuk. Ga ikhlas bener dah klo ga kepaksa",Negatif
1,"Saya sudah pake bertahunÂ² tibaÂ² gopay letter gabisa dipake, padahal limit tersedia, disuruh tunggu 30 hari, udah lewat 30 hari masih aja tetep ga bisa digunain",Negatif
1,Tolong Pencarian Drivernya Dibatasi Jadi Cuma 3 Menit Agar Tak Banyak Menghabiskan Waktu. Radius Jarak Pencarian Driver Dibuat Sampai 5 Kilometer Karena Tinggal Di Dalam Kompleks Perumahan Dan Harus Sering Kontrol Ke Rumah Sakit. Kalau Belum Dapat Driver Tarifnya Jangan Dinaikkan Sesuka Hati Sampai Ratusan Ribu,Negatif
5,"Product anak bangsa memang yg terbaik,..!!! Goride, gofood, gomart, bayar tagihan, beli pulsa, sampai belanja online via tokopedia oke banget,.. Selama ini gak ada kendala apapun (lancar jaya). Ada yg bikin lebih demen lg sama gojek, ada fasilitas gopaylater juga gopaypinjam yg smuanya benar-2 terbukti dan bisa saya nikmati smua fasilitasnya... Good JOB GoTo trus tingkatkan lagi inovasinya,..ðŸ‘ðŸ‘ðŸ‘",Positif
4,"Aplikasinya sih bagus cuman kadang2 driver nya aja yang kurang. Minimal Kalo dapet orderan Chat buat mastiin. Bukan sekedar Terima Tapi gak jalan2 Gak ada konfirmasi, pernah juga dapet Driver yang muter2 terus Ya Di chat gak ada respon mau arahin juga gimana. Anehh!! Kalo Gak niat gak usah Ambil. bikin orng nunggu lama Aja sampe telat!!",Positif
1,Sangat jelek,Negatif
5,Mantap,Positif
5,Layanan cepattt tepat waktu,Positif
5,apa paylater yg di bekukan permanen bisa di buka kembali ?,Positif
1,"Paylater yang ga jelas, udah pengguna lama karena ada kebijakaan baru jadi ga bisa pakai",Negatif
5,sangat membantu dlm hal kegiatan,Positif
5,Keren,Positif
1,"GoPaylater sudah tidak bisa di gunakan ,padahal kalo pinjam lancar,tiap bulan bayar listrik beli pulsa bayar tagihan lewat gopay...",Negatif
1,Aplikasi apa ini saya mau top up gopay malah tiba2 terblokir debitnya,Negatif
5,Mantaps,Positif
5,Manteb deh,Positif
5,Layanan aplikasi banyakk dan perlu dilestarikan karya anak bangsa ini Mantappp pokonyaaa ðŸ˜Š,Positif
4,tepat waktu,Positif
1,Skrg jelek ... Mau pesan makanan skrg ssh dan paylaternya setelah di update ulang semuanya jadi hilang terhapus dan ngga bs lagi pakai paylaternya lagi ... Padahal bayar sll tepat waktu ... Alasannya ngga masuk akal ... ðŸ‘Ž,Negatif
5,Enak pokok nya,Positif
1,"seenaknya main bekukan saldo orang ,aman ga nih nyimpan duit di gopay",Negatif
5,Pelayanan memuaskan..,Positif
5,Sangat puas,Positif
5,Sangat membantu,Positif
5,Sangat bagus,Positif
5,Ok ok ok,Positif
5,Bermanfaat,Positif
5,Puas,Positif
5,Sopan dan ramah,Positif
5,"Mantap saya suka karena driver .nya ramah dan sabar,",Positif
5,Discountnya membantu,Positif
1,Skrng gopaylatter tidak bisa di pakai lagi padhaal limintnya masih ada,Negatif
2,Ribet saat upgrade data,Negatif
5,TOP,Positif
5,Mantap dah,Positif
5,Masuk kerja tdk prnh terlambat,Positif
4,Baik,Positif
5,Terbaik,Positif
1,"Aplikasinya kacau banget awalnya enak sihh tapi belakangan ini malah gk jelas, suka terjadi masalah server padahal lagi telat banget kondisi malah gak bisa dipakai",Negatif
5,Cepat tersedia... Tidak nunggu lama,Positif
5,Mantap,Positif
5,"memudahkan saya ketika membutuhkan santapan, ketika membutuhkan moda transportasi",Positif
5,Mantab,Positif
5,"TDK ada alasan jalanan kondisi Hujan,.driver dtg tepat waktu..Tks",Positif
4,Aman,Positif
5,tdk oernah dapat voucer,Positif
4,Solusi dari perjalanan saya,Positif
1,"Tanamkan jiwa driver itu rasa etitude... mulut lu harimau buatmu, maaf ku hapus uda kecewa",Negatif
5,Sangat membantu,Positif
5,Aplikasinya bagus,Positif
1,Driver tidak merespon sangat lama susah konfirmasi pembatalan,Negatif
1,"Tolong ya, untuk pihak gojek, khususnya untuk gofood, kalo restonya ga konfirmasi dalam 30 detik, ya bikin batal aja dari sistem, saya ada pengalaman soalnya, malam malam pesan gofood, tapi restonya ga konfirm selama 30 detik, dan aplikasinya malah tetap memproses pesanannya, (Alhasil pas driver kesana, ternyata restonya tidur, ya itu merugikan kedua belah pihak, saya dan si driver,) TOLONG JIKA PIHAK RESTONYA TIDAK KONFIRM, MAKA BATALKAN SAJA OLEH SISTEMNYA,",Negatif
5,sekarang ini gojek sering ngelack. di paksakan masuk malah akun yang di nonaktifkan sama pihak gojek. padahal baru aja isi saldo...,Positif
5,Terimakasih banyak,Positif
5,mantaff,Positif
1,Aplikasi babi ribet taiiiiiii,Negatif
1,"Dulu make gpaylater bunga kecil walau terlambat, Skrg sudah ga masuk akal bunganya, make 25k terlambat 7hari tagihan sudah 110k, setelah lunas ga bakal make gojek lagi",Negatif
5,Gopaylater dong,Positif
5,"gak bisa masuk terus,, keteranganya(upppssss ada kesalahan)",Positif
1,Sangat jelek n mau tf ke bank sangat sulit ga bisa di andalkan di jam tertentu,Negatif
5,nice,Positif
1,"Gopay leter limit terlalu kecil padahal gaji saya 10 jt per bulan, penghinaan!!!!",Negatif
5,SangÃ t berguna dan tepat sekali,Positif
1,"Sorry saya ubah ke bintang 1, sekarang kalo mesen, malah dikasih driver yang jauh jauh, padahal yang deket banyak.....",Negatif
1,Nih atas pelayanan lu,Negatif
1,"Harga on the spot lebih murah dari aplikasi, banyak biaya ini itu. Pakai mode hemat makanan sampai satu jam lebih gk datang datang. Terlalu besar biaya aplikasi harga makanan berbeda dengan on the spot. Terlalu banyak ambil untung",Negatif
5,Ok deh,Positif
5,Keren,Positif
2,"Ada apa dengan aplikasi gojek? API Error. Location not serviceable, sudah lebih 3 tahun menggunakan gojek. Baru ini menemui bug seperti ini",Negatif
5,ok,Positif
5,Harga nasi 30.ongkir nya 60 ribu gilaaa bukan maen,Positif
1,"Mitra di jadikan budak. pelanggan di peras, potongan driver dan merchant, sangat besar. pelanggan harus membayar harga makanan yg sdh di up, bayar ongkir mahal tapi ke drivernya cuma setengah, bayar administrasi juga...yg gak jelas,",Negatif
1,"Waktu tunggu driver sangat lama sampai 30 menit, sering kena cancel, selalu dapat driver yang jaraknya jauh.",Negatif
1,"Woy Gojek, sediakan fitur blokir mitra diaplikasi lu dah, mitraÂ² lu dikasih bintang 1 ngamuk, pdhal emang benar konsumen kecewa dgn pelayanannya. Jd buatkan fitur blokir mitra lah, biar kami para konsumen bisa memblokir mrk, dan tdk lg dilayani oleh mitraÂ² lu yg gak bemer itu untuk seterusnya.",Negatif
1,"Makin hari makin nyekik custumer, aplikasi jasa tapi pajak dan biaya2 lainnya gak tanggung2 meras, jasa apa preman apa pungli. Mending pesan offline",Negatif
5,Ok bingits,Positif
2,tidak dapat melihat posisi deriver ketika sudah dapat driver gofood makin ngaco,Negatif
1,Bagaimana bisa saldo sudah terpotong namun yg nerima kiriman dana gopay nya mengatakan blm masuk.aneh2 aja,Negatif
5,Sangat bagus sekali,Positif
1,"driver nya banyak yg males, setiap beli makanan di gofoog sesalu di cancel sama driver, entah cuman di Surabaya aja apa gimana gak tau",Negatif
5,Pake gojek semua jadi serba mudah dalam melakukan transaksi terus juga banyak diskon yang lumayan baik dr gofood maupun gocar/gojek,Positif
1,driver gampangin banget nge cancel terus,Negatif
1,"Kenapa ya setiap saya mau pesen makanan pasti pengirimannya lama,yg d suruh nunggu 60mnt lah 45mnt la orng pesen krna dh laper",Negatif
5,Mantap,Positif
4,Ok,Positif
2,"Halo, saya.mempunyai limit gopay later, tapi kenapa tidak bisa digunakan? Mohon bantuannya",Negatif
1,Mau masuk udah 3hari gabisa masukÂ² keu akun ini gojek kenapa lg...yah,Negatif
5,Apk yang bagus,Positif
5,setiap jam 6 suka susah dapet driverðŸ™„,Positif
5,Maksimall,Positif
5,"Sangat menolong orang butuh transportasi, tapi untuk kawasan Trimulyo masih langka driver siaga, pukul di bawah enam pagi susah beroleh driver",Positif
5,Jos,Positif
2,Kode otp tidak masuk masuk padahal nomer hp sudah bener padahal mau beli sesuatu gak bisa2,Negatif
1,Gojek sekarang mengecewakan,Negatif
5,"Cepat,..dan ok banget",Positif
1,"Tolong gojek driver yg suka ngutil makanan customer diberhentikan aja masih ada orang jujur yg bisa gantiin. Setahun ini saya udah berapa kali kena yg rugi customer, toko, sama gojek sendiri.. Yg tegas dikit napa",Negatif
1,"gajelas gofood sekarang harus pake gopay, bagusan gojek yang dulu",Negatif
1,"Jadi mitra gojek sejak 2015, tapi ajukan pinjaman tidak bisa. Lebih percaya OJK daripada mitra nya sendiri yg sudah pernah berdarah-darah mempertahankan eksistensi Gojek. Mitra Gojek sudah susah semakin susah.",Negatif
1,Layanan gofood sekarang sangat buruk. Estimasi waktu sampe 1 jam di jam sibuk. rumah jarak 2.5 km dri resto,Negatif
1,"Gx jelas pesan sate ayam 20tsuk yg dateng cma 10tsuk, mna map ny sering salah",Negatif
5,Yeah,Positif
5,knp gopaylater sy TDK bisa lagi???,Positif
5,overall bagus semua tapi kurenggg promonya ehehhehehey,Positif
5,Mantap sangat membantu,Positif
1,"Tiba tiba gopaylatter gk bisa di pake padhal belum pernah bayar telat sekalipun bayar, kcewa banget gk club tinggi point 2756 xp, Ampas ampas dah mau 2 bukan gojek jadi ampas",Negatif
1,"Terus kejadian, setiap driver tlp saya, saya bingung mau angkat tlp, ga bisa angkat tlpnya, ga muncul tombol tlp, atau icon atau notif buat angkat tlp",Negatif
5,Cool,Positif
5,Sangat membantu.....,Positif
5,Henpon,Positif
5,Mantap pisan bisa buat sahabat kita,Positif
5,Ok,Positif
5,Baik,Positif
5,Good aplikasi,Positif
5,Oke...sayang nyh di wilayah gerobogan blm ada mobil nyh,Positif
5,Mantap,Positif
5,Aplikasi nya bagus,Positif
5,Apakah Gotix sdh tidak ada di Gojek gaezzz,Positif
2,Lemot bangetttt,Negatif
5,Okelah,Positif
1,Ribet,Negatif
1,Top up layanan k vision tidak bisaaaaaa,Negatif
5,Mantaap,Positif
5,ðŸ˜ŽðŸ˜­ðŸ‘ðŸ‘ðŸ‘ Sangat Memuaskan,Positif
5,Semoga penanganan bagi drever yg kena sangsi dpt di pilah pilah dan fi lihat dr pelanggaran krn drever yg mau bekerja merasa di tifu orang yg tdk bertangung jawab terimakasih,Positif
1,Kenapa jdi ngelag bangettt loading lama,Negatif
5,gud,Positif
5,Driver yang cepat tanggap,Positif
5,Apk keren,Positif
5,Good,Positif
5,Very good,Positif
1,Masuk di tempat yg gak pas mengganggu,Negatif
5,Top,Positif
4,gak bisa pantau perjalanan driver nya,Positif
5,Baturraden hadir,Positif
2,GoTix nya kok hilang?,Negatif
5,Nice,Positif
5,"Bagus .... tepat waktu, bagus lah",Positif
2,"Kalau ada discount,suka di cancel sama driver. Dapat driver nya susah",Negatif
5,Perbanyak promonya,Positif
5,Mudah digunakan,Positif
1,Mahal n lambat,Negatif
5,"bagus, sangat membantu bagi kita yang gak bisa bepergian sendiri.",Positif
1,Ngirim barang gisend lama bener pas sampe drivernya eh ternyata nganterin dulu barang yang lalamove kesel banget orang pesenannya ditungguin.. Harga mahal tapi pengiriman lambat..,Negatif
1,Uang saya kmrn isi 100000.hari ini hilang entah kmn...bgmn cara komplainnya,Negatif
1,Pembelian token PLN tidak muncul kodenya Gopay payah customer service tidak bisa menyelesaikan,Negatif
1,"Maaf saya terpaksa kasih bintang 1 karena menurut saya aplikasi ini sering error/bug sama seperti komentar lain, termasuk saya. Saya tidak bisa memverifikasi kan ktp saya di aplikasi ini",Negatif
5,Banyakk bangett diskonnyaaa buruaannn download,Positif
5,good,Positif
1,ngebug mulu,Negatif
5,sangat membantu,Positif
